pvt_corner,tid_corner,desired_bit,node,strike_time_ns,strike_source,strike_sink,adverse_polarity,status,qcrit_fc,lower_no_fail_fc,upper_fail_fc,iterations
nominal,central,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,blb,0.1,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,blb,0.16,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,blb,0.24,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,blb,0.26,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,blb,0.4,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,blb,0.8,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,blb,1.2,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,d,0.1,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,d,0.16,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,d,0.24,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,d,0.26,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,d,0.4,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,d,0.8,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,d,1.2,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,d,1.6,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,d,1.69,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,d,1.74,d,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,db,0.1,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,db,0.16,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,db,0.24,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,db,0.26,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,db,0.4,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,db,0.8,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,db,1.2,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,db,1.6,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,db,1.69,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,db,1.74,0,db,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,q,0.1,q,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,q,0.16,q,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,q,0.24,q,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,q,0.26,q,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,q,0.4,q,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,q,0.8,q,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,q,1.2,q,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,q,1.6,q,0,high_charge_removal,bracketed,12.284375,12.28125,12.287500000000001,15
nominal,central,1,q,1.69,q,0,high_charge_removal,bracketed,1.3843750000000001,1.38125,1.3875000000000002,9
nominal,central,1,q,1.74,q,0,high_charge_removal,bracketed,1.4281250000000003,1.4250000000000003,1.4312500000000004,9
nominal,central,1,qb,0.1,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,qb,0.16,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,qb,0.24,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,qb,0.26,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,qb,0.4,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,qb,0.8,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,qb,1.2,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,3.859375,3.8562499999999997,3.8625,13
nominal,central,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,2.684375,2.6812500000000004,2.6875,11
