let_mev_cm2_mg,differential_flux_cm2_s_per_mev_cm2_mg,aps28_global_well_sram_sigma_cm2_per_bit,kintex7_blockram_sigma_cm2_per_bit,kintex7_configuration_sram_sigma_cm2_per_bit,pointwise_low_sigma_cm2_per_bit,pointwise_median_sigma_cm2_per_bit,pointwise_high_sigma_cm2_per_bit
0.0028713000000000002,881.2717291576848,0.0,0.0,0.0,0.0,0.0,0.0
0.0029035000000000003,881.2717291576848,0.0,0.0,0.0,0.0,0.0,0.0
0.002936,881.2717291576848,0.0,0.0,0.0,0.0,0.0,0.0
0.0029689,1191.2071383360385,0.0,0.0,0.0,0.0,0.0,0.0
0.0030022,1667.7059327503807,0.0,0.0,0.0,0.0,0.0,0.0
0.0030358,1667.7059327503807,0.0,0.0,0.0,0.0,0.0,0.0
0.0030697999999999997,1667.7059327503807,0.0,0.0,0.0,0.0,0.0,0.0
0.0031042,1667.7059327503807,0.0,0.0,0.0,0.0,0.0,0.0
0.0031389,1667.7059327503807,0.0,0.0,0.0,0.0,0.0,0.0
0.0031741,1568.7242464044011,0.0,0.0,0.0,0.0,0.0,0.0
0.0032096,1560.9140972402254,0.0,0.0,0.0,0.0,0.0,0.0
0.0032456,1560.9140972402254,0.0,0.0,0.0,0.0,0.0,0.0
0.0032819,1560.9140972402254,0.0,0.0,0.0,0.0,0.0,0.0
0.0033187000000000004,1560.9140972402254,0.0,0.0,0.0,0.0,0.0,0.0
0.0033559,1560.9140972402254,0.0,0.0,0.0,0.0,0.0,0.0
0.0033935,1560.9140972402254,0.0,0.0,0.0,0.0,0.0,0.0
0.0034315,1769.4769580835662,0.0,0.0,0.0,0.0,0.0,0.0
0.0034699,2093.119975999044,0.0,0.0,0.0,0.0,0.0,0.0
0.0035088,2093.119975999044,0.0,0.0,0.0,0.0,0.0,0.0
0.0035480999999999998,2093.119975999044,0.0,0.0,0.0,0.0,0.0,0.0
0.0035878,2093.119975999044,0.0,0.0,0.0,0.0,0.0,0.0
0.003628,1764.057670908424,0.0,0.0,0.0,0.0,0.0,0.0
0.0036686,1621.482600962403,0.0,0.0,0.0,0.0,0.0,0.0
0.0037097000000000002,1621.482600962403,0.0,0.0,0.0,0.0,0.0,0.0
0.0037513,1621.482600962403,0.0,0.0,0.0,0.0,0.0,0.0
0.0037933,1621.482600962403,0.0,0.0,0.0,0.0,0.0,0.0
0.0038358,1621.482600962403,0.0,0.0,0.0,0.0,0.0,0.0
0.0038786999999999997,1621.482600962403,0.0,0.0,0.0,0.0,0.0,0.0
0.0039222,1844.1515475410404,0.0,0.0,0.0,0.0,0.0,0.0
0.0039661,2055.344356572318,0.0,0.0,0.0,0.0,0.0,0.0
0.0040105,2055.344356572318,0.0,0.0,0.0,0.0,0.0,0.0
0.0040554,2055.344356572318,0.0,0.0,0.0,0.0,0.0,0.0
0.0041009,2055.344356572318,0.0,0.0,0.0,0.0,0.0,0.0
0.0041468,2055.344356572318,0.0,0.0,0.0,0.0,0.0,0.0
0.0041933,2055.344356572318,0.0,0.0,0.0,0.0,0.0,0.0
0.0042401999999999995,2002.5860020143157,0.0,0.0,0.0,0.0,0.0,0.0
0.0042877,1994.05859425343,0.0,0.0,0.0,0.0,0.0,0.0
0.0043357000000000005,1994.05859425343,0.0,0.0,0.0,0.0,0.0,0.0
0.0043843,1994.05859425343,0.0,0.0,0.0,0.0,0.0,0.0
0.0044334,1994.05859425343,0.0,0.0,0.0,0.0,0.0,0.0
0.0044831,1994.05859425343,0.0,0.0,0.0,0.0,0.0,0.0
0.0045333,1994.05859425343,0.0,0.0,0.0,0.0,0.0,0.0
0.0045839999999999995,1994.05859425343,0.0,0.0,0.0,0.0,0.0,0.0
0.0046354,2003.4626514102945,0.0,0.0,0.0,0.0,0.0,0.0
0.004687299999999999,2005.4550364011554,0.0,0.0,0.0,0.0,0.0,0.0
0.0047398,2005.4550364011554,0.0,0.0,0.0,0.0,0.0,0.0
